case_id,conventional_years,modular_fraction,modular_years,interest_rate,conventional_total_musd,modular_total_musd,savings_musd,savings_pct
2,5.0,0.5,2.5,0.06,161.9,141.87,20.03,12.37
2,5.0,0.65,3.25,0.06,161.9,145.09,16.81,10.38
2,5.0,0.8,4.0,0.06,161.9,148.41,13.49,8.33
2,5.0,0.5,2.5,0.1,175.34,146.05,29.29,16.71
2,5.0,0.65,3.25,0.1,175.34,151.61,23.73,13.54
2,5.0,0.8,4.0,0.1,175.34,157.45,17.89,10.2
2,5.0,0.5,2.5,0.14,189.84,150.28,39.57,20.84
2,5.0,0.65,3.25,0.14,189.84,158.33,31.51,16.6
2,5.0,0.8,4.0,0.14,189.84,166.95,22.89,12.06
2,7.0,0.5,3.5,0.06,172.19,146.19,26.01,15.1
2,7.0,0.65,4.55,0.06,172.19,150.91,21.29,12.36
2,7.0,0.8,5.6000000000000005,0.06,172.19,155.83,16.37,9.5
2,7.0,0.5,3.5,0.1,194.62,153.52,41.1,21.12
2,7.0,0.65,4.55,0.1,194.62,161.91,32.71,16.81
2,7.0,0.8,5.6000000000000005,0.1,194.62,170.91,23.71,12.19
2,7.0,0.5,3.5,0.14,220.13,161.14,58.99,26.8
2,7.0,0.65,4.55,0.14,220.13,173.66,46.47,21.11
2,7.0,0.8,5.6000000000000005,0.14,220.13,187.43,32.69,14.85
